Instrument,ric,canonical_name,primary_group,candidate_status,inclusion_reason,source_type,source_title,source_url,source_retrieval_status,universe_name,delisted_ric,member_from,member_to,segment_rows,segment_periods,announcement_rows,local_keyword_evidence_rows,local_keyword_groups,local_first_orig_announcement,pit_first_observable_date,pit_evidence_status,pit_eligible_now,pit_limitation,existing_pool_v1_member_overlap,taxonomy_version,reason_code,member_from_dt,member_to_dt,ai_role_evidence_status,candidate_source,membership_run_id
MPWR.OQ,MPWR.OQ,"Monolithic Power Systems, Inc.",ai_semiconductor,selected_design_candidate,Power-management semiconductor supplier for computing and data-center systems.,official_issuer_description,MPS About MPS,https://www.monolithicpower.com/en/about-mps,reference_only_not_downloaded,Monolithic Power,False,2021-02-12,2026-09-07,14,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2021-02-12,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
MU.OQ,MU.OQ,"Micron Technology, Inc.",memory_hbm_storage,selected_design_candidate,DRAM/HBM and data-center memory supplier.,official_issuer_description,Micron About,https://www.micron.com/about,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,78,13,13,2,memory_hbm_storage | server_network,2025-09-23,2025-09-23,direct_local_pit,True,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.,True,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,direct_local_pit,external_registry_exploratory_static_candidate,20260910T023221976393Z
WDC.OQ,WDC.OQ,Western Digital Corporation,memory_hbm_storage,selected_design_candidate,Enterprise HDD/flash and data-storage supplier for large-scale compute.,official_issuer_description,Western Digital Company,https://www.westerndigital.com/company,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,19,13,13,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
STX.OQ,STX.OQ,Seagate Technology Holdings plc,memory_hbm_storage,selected_design_candidate,Mass-capacity enterprise storage supplier used by data centers.,official_issuer_description,Seagate About Us,https://www.seagate.com/company/about-us/,reference_only_not_downloaded,Seagate,False,2015-01-01,2026-09-07,13,13,13,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
SNDK.OQ,SNDK.OQ,SanDisk Corporation,memory_hbm_storage,selected_design_candidate,Flash/NAND and enterprise storage supplier.,official_issuer_description,SanDisk About,https://www.sandisk.com/company/about,reference_only_not_downloaded,Sandisk,False,2025-02-24,2026-09-07,4,4,4,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2025-02-24,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
NTAP.OQ,NTAP.OQ,"NetApp, Inc.",memory_hbm_storage,selected_design_candidate,Enterprise data-storage and hybrid-cloud infrastructure supplier.,official_issuer_description,NetApp Company,https://www.netapp.com/company/,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,24,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
HPE.N,HPE.N,Hewlett Packard Enterprise Company,server_network,selected_design_candidate,HPC and AI-server systems supplier.,official_issuer_description,HPE About,https://www.hpe.com/us/en/about.html,reference_only_not_downloaded,HPE,False,2015-11-02,2026-09-07,80,13,13,12,gpu_accelerator | ai_semiconductor | cloud_software,2020-12-01,2020-12-01,direct_local_pit,True,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.,True,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-11-02,2026-09-07,direct_local_pit,external_registry_exploratory_static_candidate,20260910T023221976393Z
DELL.N,DELL.N,Dell Technologies Inc.,server_network,selected_design_candidate,Enterprise server and AI infrastructure OEM.,official_issuer_description,Dell Technologies About Us,https://www.dell.com/en-us/dt/corporate/about-us.htm,reference_only_not_downloaded,Dell Tech TX,False,2016-09-07,2026-09-07,82,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2016-09-07,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
ANET.N,ANET.N,"Arista Networks, Inc.",server_network,selected_design_candidate,Cloud and data-center Ethernet switching/networking supplier.,official_issuer_description,Arista About Us,https://www.arista.com/en/company/about-us,reference_only_not_downloaded,Arista Networks,False,2018-08-28,2026-09-07,14,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2018-08-28,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
CSCO.OQ,CSCO.OQ,"Cisco Systems, Inc.",server_network,selected_design_candidate,"Data-center networking, switching and security infrastructure supplier.",official_issuer_description,Cisco About,https://www.cisco.com/c/en/us/about.html,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,1,0,13,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
JNPR.N^G25,JNPR.N^G25,"Juniper Networks, Inc.",server_network,selected_design_candidate,Data-center/networking equipment supplier; historical RIC retained through its delisting span.,official_issuer_description,Juniper Company,https://www.juniper.net/us/en/company.html,reference_only_not_downloaded,Juniper Networks,True,2015-01-01,2025-07-08,17,13,13,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2025-07-08,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
CIEN.N,CIEN.N,Ciena Corporation,server_network,selected_design_candidate,Optical and packet networking infrastructure supplier for cloud/data-center traffic.,official_issuer_description,Ciena About,https://www.ciena.com/about,reference_only_not_downloaded,Ciena,False,2026-02-09,2026-09-07,61,13,13,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2026-02-09,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
MSFT.OQ,MSFT.OQ,Microsoft Corporation,cloud_software,selected_design_candidate,Cloud AI services and machine-learning platform provider.,official_issuer_description,Microsoft About,https://www.microsoft.com/en-us/about,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,65,13,13,10,cloud_software,2016-07-19,2016-07-19,direct_local_pit,True,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.,True,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,direct_local_pit,external_registry_exploratory_static_candidate,20260910T023221976393Z
AMZN.OQ,AMZN.OQ,"Amazon.com, Inc.",cloud_software,selected_design_candidate,Cloud AI infrastructure and managed AI services provider.,official_issuer_description,About Amazon,https://www.aboutamazon.com/about-us,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,31,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
GOOG.OQ,GOOG.OQ,Alphabet Inc.,cloud_software,selected_design_candidate,"Cloud AI platform, model and AI-enabled services provider.",official_issuer_description,Google Company Info,https://about.google/intl/en_us/company-info/,reference_only_not_downloaded,Alphabet,False,2015-01-01,2026-09-07,60,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
META.OQ,META.OQ,"Meta Platforms, Inc.",cloud_software,selected_design_candidate,"Large-scale AI model, recommendation and data-center compute operator.",official_issuer_description,Meta Company Info,https://about.meta.com/company-info/,reference_only_not_downloaded,Meta Platforms,False,2015-01-01,2026-09-07,24,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
ORCL.N,ORCL.N,Oracle Corporation,cloud_software,selected_design_candidate,"Cloud infrastructure, database and enterprise AI services provider.",official_issuer_description,Oracle Corporate,https://www.oracle.com/corporate/,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,71,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
IBM.N,IBM.N,International Business Machines Corporation,cloud_software,selected_design_candidate,"Enterprise AI software, hybrid cloud and AI services provider.",official_issuer_description,IBM About,https://www.ibm.com/about,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,106,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
NOW.N,NOW.N,"ServiceNow, Inc.",cloud_software,selected_design_candidate,Enterprise cloud workflow platform with embedded generative/AI services.,official_issuer_description,ServiceNow Company,https://www.servicenow.com/company.html,reference_only_not_downloaded,ServiceNow,False,2019-11-21,2026-09-07,14,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2019-11-21,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
PLTR.OQ,PLTR.OQ,Palantir Technologies Inc.,cloud_software,selected_design_candidate,Enterprise AI/data analytics platform provider.,official_issuer_description,Palantir About,https://www.palantir.com/about/,reference_only_not_downloaded,Palantir Tech,False,2024-09-23,2026-09-07,24,8,8,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2024-09-23,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
SNPS.OQ,SNPS.OQ,"Synopsys, Inc.",cloud_software,selected_design_candidate,Electronic-design automation and AI-assisted chip design software platform.,official_issuer_description,Synopsys Company,https://www.synopsys.com/company.html,reference_only_not_downloaded,Synopsys,False,2017-03-16,2026-09-07,28,13,13,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2017-03-16,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
CDNS.OQ,CDNS.OQ,"Cadence Design Systems, Inc.",cloud_software,selected_design_candidate,"Electronic-design automation, simulation and AI-enabled chip design platform.",official_issuer_description,Cadence Company,https://www.cadence.com/en_US/home/company.html,reference_only_not_downloaded,Cadence Design,False,2017-09-18,2026-09-07,14,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2017-09-18,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
EQIX.OQ,EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,selected_design_candidate,Colocation data-center operator and interconnection provider.,official_issuer_description,Equinix Investor Overview,https://investor.equinix.com/overview/default.aspx,reference_only_not_downloaded,Equinix,False,2015-03-23,2026-09-07,14,14,14,14,memory_hbm_storage | server_network,2020-02-12,2020-02-12,direct_local_pit,True,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.,True,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-03-23,2026-09-07,direct_local_pit,external_registry_exploratory_static_candidate,20260910T023221976393Z
DLR.N,DLR.N,"Digital Realty Trust, Inc.",data_center_power_cooling,selected_design_candidate,Data-center real-estate and colocation infrastructure operator.,official_issuer_description,Digital Realty About,https://www.digitalrealty.com/about,reference_only_not_downloaded,Digital Realty,False,2016-05-18,2026-09-07,14,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2016-05-18,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
AMT.N,AMT.N,American Tower Corporation,data_center_power_cooling,selected_design_candidate,Communications infrastructure operator with data-center assets.,official_issuer_description,American Tower About Us,https://www.americantower.com/company/about-us,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,85,14,14,10,memory_hbm_storage | server_network,2022-02-24,2022-02-24,direct_local_pit,True,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.,True,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,direct_local_pit,external_registry_exploratory_static_candidate,20260910T023221976393Z
IRM.N,IRM.N,Iron Mountain Incorporated,data_center_power_cooling,selected_design_candidate,Data-center and information infrastructure operator.,official_issuer_description,Iron Mountain About Us,https://www.ironmountain.com/about-us,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,67,14,14,18,memory_hbm_storage | server_network,2018-02-16,2018-02-16,direct_local_pit,True,Local Orig segment keyword match joins an Orig announcement date; day-level date only and raw segment taxonomy coverage is limited to this LSEG run.,True,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,direct_local_pit,external_registry_exploratory_static_candidate,20260910T023221976393Z
VRT.N,VRT.N,Vertiv Holdings Co,data_center_power_cooling,selected_design_candidate,"Data-center power, thermal management and liquid-cooling equipment supplier.",official_issuer_description,Vertiv Company,https://www.vertiv.com/en-us/about/company/,reference_only_not_downloaded,Vertiv Holdg,False,2026-03-23,2026-09-07,40,9,9,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2026-03-23,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
ETN.N,ETN.N,Eaton Corporation plc,data_center_power_cooling,selected_design_candidate,"Power-management, UPS and electrical-distribution supplier for data centers.",official_issuer_description,Eaton About Us,https://www.eaton.com/us/en-us/company/about-us.html,reference_only_not_downloaded,,False,2015-01-01,2026-09-07,92,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
TT.N,TT.N,Trane Technologies plc,data_center_power_cooling,selected_design_candidate,"Thermal-management and cooling systems supplier, including data-center cooling.",official_issuer_description,Trane Technologies About Us,https://www.tranetechnologies.com/en/index/company/about-us.html,reference_only_not_downloaded,Trane Tech,False,2015-01-01,2026-09-07,48,14,14,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
JCI.N,JCI.N,Johnson Controls International plc,data_center_power_cooling,selected_design_candidate,Building-management and cooling/thermal systems supplier for critical facilities.,official_issuer_description,Johnson Controls About Us,https://www.johnsoncontrols.com/about-us,reference_only_not_downloaded,Johnson cntrls,False,2015-01-01,2026-09-07,67,13,13,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2015-01-01,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
CARR.N,CARR.N,Carrier Global Corporation,data_center_power_cooling,selected_design_candidate,HVAC and thermal-management equipment supplier for data-center facilities.,official_issuer_description,Carrier About Us,https://www.carr.com/about-us,reference_only_not_downloaded,Carrier Global,False,2020-04-03,2026-09-07,47,9,9,0,,,,provisional_static_source,False,Issuer description is a current/reference snapshot and was not downloaded or hashed in this run; it cannot backfill historical membership.,False,AI_SUPPLY_CHAIN_TAXONOMY_v2.0,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN,2020-04-03,2026-09-07,provisional_static_source,external_registry_exploratory_static_candidate,20260910T023221976393Z
